,potential_ceo_company
573,The Atlantic Jeff Immelt
915,Anand Nallathambi
916,CoreLogic
1304,Jorge Piedrahita
1305,Bloomberg News There
1376,Assembled Chemical Weapons AlternativesConstruction
1554,DoubleLine
1555,Jeffrey Gundlach
1556,Chief Investment Officer
2195,LadderFormer
2196,Hewlett
2197,Packard Carly Fiorina
2751,Associate Director Office Financial Stability Policy Research Board Governors Joshua Gallin Deputy Associate Director Division Research Statistics Board Governors
3237,We
3354,Cap
3453,Posawatz Fisker
3633,Glenn Murphy
3637,Gap Inc
3659,Emergency Unemployment Compensation
3859,Warren Buffett
3861,Sokol
3865,Berkshire Hathaway
3872,Mr
4316,Bloomberg Television April
4454,Dreamworks Animation Chairman Robert Enrico October
4455,Pepsi
5057,Sokol
5078,Berkshire Hathaway
5599,Mike Lynch
5600,Briody
5612,Autonomy
5637,Mike Lynch
5649,Autonomy
5663,Mike Lynch
5664,Lynch
6011,Wikimedia CommonsDeclaration IndependenceYesterday American Economic Association
6220,Sears Holdings
6221,February
6222,Louis DAmbrosio
6224,Investments
6225,Sears
6236,Sears Holdings
6237,Chairman Board Directors
6432,John Goodman
6456,Mindy Meads Chairman Nominating Governance Committee Board Dorrit Bern Chairman Compensation Committee Board Kenneth Reiss Chairman Audit Committee Board Lynda Davey Company Chairman Board
6470,Democrat Judiciary Subcommittee Constitution Congressman
6697,Ginny Rometty
6820,Skiddy
6821,Stade
6822,OneWire
6940,Bill Ackman
6941,Pershing Square Capital Management
6972,Mohamed El
6973,Erian
6974,Financial Times
7032,StaffMichael Corbat
7034,Vikram Pandit
7061,Cowles
7062,Europe Middle East Africa
7063,Citi
7066,North America
7067,Community Development
7068,International Franchise Management
7069,Aristeguieta
7070,Latin America Stephen Bird
7071,Asia Pacific
7083,McQuade
7084,Citibank
7085,Citi Holdings Japan
7090,Sponsorships Communications Government Affairs
7580,Their
7659,Eddie Lampert
7660,Sears Holdings
7661,February
7662,Louis DAmbrosio
7677,Lampert
7678,Sears
7838,Hank Greenberg
7997,Citi
8013,Greenberg
8014,Greenberg
8018,Greenberg
8024,Penney
8025,Ron Johnson
8026,Women Wear Daily
8027,Summit
8123,Hank Greenberg
8134,Hank Greenberg
8721,Maurice Greenberg
8768,To
9212,Dennis Crowley
9340,James Gorman
9341,Morgan Stanley
9402,Matt Rose
9528,Hank Greenberg
9529,Starr International
9639,Hank Greenberg
9861,Jamie Dimon
10061,Maurice
10062,Hank Greenberg
10066,Bob Benmosche
10079,Cornelius Vander Starr
10081,Greenberg
10083,Greenberg
10099,Stanley
10100,James Gorman
10101,Wall Street
10380,Robert Benmosche
10762,Mr
10855,Joe Ratterman
10856,The Wall Street Journal
11060,Sorensen
11061,Flibe Energy
11080,Pershing William
11081,Pershing Square Capital Management
11302,Ackman
11390,Michael Johnson
11393,Kate Kelly
11395,Kate Can
11469,McAfee
11470,Intel
11472,FireEye
11477,Walt
11478,Walt
11731,Os
11735,Herbalife
11850,Sanford
11851,Sandy
11852,Weill
11869,Bank America
12223,National Climate Assessment Development Advisory Committee National Climate Assessment
12345,National Republican Congressional Committee
12522,Sources Recession Forecasts Dwaine
12523,Vuuren
12524,RecessionAlert
12707,Bloomberg
12773,Sources Recession Forecasts Dwaine
12774,Vuuren
12775,RecessionAlert
13060,Erian
13087,Best Buy
13088,Hubert Joly
13089,Best Buy
13164,Citigroup
13427,Sears
13432,Sears
13448,Sears
13594,Department Federal Bureau Investigation Securities Exchange Commission
