,percent
0,1.2%
1,47%
2,39.6%
3,47%
4,47%
5,4.2%
6,6.2%
7,47%
8,35%
9,39.6%
10,4.2%
11,6.2%
12,15%
13,20%
14,3.8%
15,23.8%
16,39.6%
17,15%
18,18.8%
19,40%
20,10%
21,3%
22,3%
23,2%
24,1.7%
25,2%
26,1.5%
27,1.4%
28,0.9%
29,1.9percent
30,99percent
31,0.5percent
32,1%
33,1%
34,3%
35,2%
36,1%
37,0%
38,3%
39,3%
40,3%
41,3%
42,3%
43,2%
44,9.3%
45,9%
46,1%
47,1%
48,26%
49,9%
50,3%
51,2%
52,1%
53,1%
54,1.5%
55,1%
56,0.4%
57,Two-percent
58,one-percent
59,3%
60,8%
61,0.1percent
62,0.2percent
63,0.4percent
64,0.2percent
65,0.6percent
66,14percent
67,13percent
68,1%
69,1%
70,50%
71,2%
72,20percent
73,50percent
74,16.0%
75,11.8%
76,3.1%
77,2.9%
78,2%
79,goodpercent
80,0.2percent
81,0.01percent
82,0.1percent
83,2%
84,35%
85,39.6%
86,15%
87,20%
88,40%
89,55%
90,15%
91,35%
92,39.5%
93,15%
94,15%
95,20%
96,10%
97,1%
98,2percent
99,0.7percent
100,35percent
101,39.6percent
102,13percent
103,interestpercent
104,fivepercent
105,50percent
106,20percent
107,12.3percent
108,1.3%
109,1.5%
110,6.1%
111,6.8%
112,largerpercent
113,onepercentage point
114,6.2percent
115,4.2percent
116,21.7percent
117,1%
118,1.4%
119,5.2percent
120,1.8percent
121,21.7percent
122,9percent
123,20%
124,39.6%
125,Itpercent
126,15%
127,5%
128,39.6%
129,35%
130,40%
131,35%
132,40%
133,26%
134,23.8%
135,9percent
136,70%
137,shrunkpercent
138,10%
139,5percent
140,39.4percent
141,daypercent
142,39.6percent
143,20percent
144,13.9percent
145,17.5percent
146,22percent
147,6.7percent
148,28.2percent
149,2.19percent
150,90%
151,0.3percent
152,0.6percent
153,0.3percent
154,7.7percent
155,9.2percent
156,0.2percent
157,0.4percent
158,0.7percent
159,0.4percent
160,0.5percent
161,50.7percent
162,1.2percentage point
163,49.5percent
164,50.3percent
165,52.6percent
166,1.1percentage point
167,52.7percent
168,4.3percentage point
169,51.5percent
170,2%
171,biggerpercent
172,lowerpercent
173,17%
174,19%
175,levelpercent
176,51percent
177,2.5percent
178,ninepercent
179,threepercent
180,11percent
181,5.3percent
182,5.5%
183,15.96%
184,5%
185,3.1%
186,4%
187,7.8percent
188,1.7percent
189,40%
190,2.07%
191,6.67%
192,1.73%
193,8.88%
194,40%
195,69%
196,30%
197,1.73%
198,2.07%
199,48%
200,10%
201,3.60%
202,6.24%
203,13.84%
204,fivepercent
205,threepercent
206,fivepercent
207,1.8178%
208,largepercent
209,13.5percent
210,20percent
211,42percent
212,90percent
213,49percent
214,49%
215,32%
216,24%
217,35%
218,38%
219,4.348%
220,2.701%
221,100%
222,2%
223,3%
224,3.1%
225,2.24%
226,2%
227,3%
228,2%
229,2percent
230,98percent
231,97percent
232,25percent
233,31percent
234,1%
235,6percent
236,3percent
237,5percent
238,22percent
239,2.8percent
240,33.4%
241,28.3percent
242,1210%
243,0.19%
244,6.5percent
245,6.5percent
246,7.7percent
247,6.5percent
248,40%
249,6.5%
250,2.5%
251,6.5percent
252,2.5percent
253,7.7percent
254,2percent
255,2percent
256,2percent
257,2percent
258,halfpercentage point
259,2percent
260,halfpercentage point
261,2percent
262,2percent
263,40%
264,26.4percent
265,26.9percent
266,16percent
267,15percent
268,80%
269,39.6%
270,3.8%
271,23.8%
272,2%
273,10percent
274,7.6percent
275,1.6percent
276,1.2percent
277,4.9percent
278,2.1percent
279,100%
280,60percent
281,8%
282,0.7percent
283,90percent
284,50%
285,84.69%
286,5percent
287,5percent
288,2.5percent
289,2.6percent
290,0.1percentage point
291,3.0percent
292,50%
293,22percent
294,43percent
295,43percent
296,22percent
297,33percent
298,14percent
299,215percent
300,60percent
301,189percent
302,90percent
303,4.3%
304,1%
305,1.8%
306,2.83%
307,10.1%
308,9%
309,8.7%
310,7.0%
311,5.5%
312,6.0%
313,5.5%
314,0.9%
315,0.3%
316,0.18%
317,13percent
318,44percent
319,5%
320,1.5%
321,2%
322,11%
323,6.5%
324,11%
325,20%
326,30%
327,30%
328,0.1%
329,7.8%
330,7.7%
331,0.3%
332,2.1%
333,63.6%
